"Source:"	"F:\OneDrive\proje\ESP32-GATEWAY-master\HARDWARE\Hardware revision G2 type c\Hardware revision G2\ESP32-GATEWAY_Rev_G.kicad_sch"
"Date:"	"19.11.2022 13:43:11"
"Tool:"	"Eeschema (6.0.8)"
"Component Count:"	"133"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R16"	"220R/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R17"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R18"	"12.1k/1%/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R19"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R20"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R21"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R22"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R23"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R24"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R25"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R26"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R27"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R28"	"2.2k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R29"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R30"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R31"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
"R32"	"4.7k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"Resistors:0603"	""	""
